FinYear,FinYearTotal,FinYearTotalResolved,FinYearPercentage,Stream,StreamTotal,StreamTotalResolved,StreamPercentage,Act,ActTotal,ActTotalResolved,ActPercentage,Application,ApplicationTotal,ApplicationTotalResolved,ApplicationPercentage,Total,ResolvedConference
20-21,1944,1443,74.20%,Administrative and Disciplinary,111,76,68.50%,Architectural Practice Act,1,1,100.00%,Complaint (Architectural Practice Act),1,1,100.00%,1,Y
20-21,1944,1443,74.20%,Administrative and Disciplinary,111,76,68.50%,Building Work Contractors Act,2,2,100.00%,Review a decision of the Commissioner refusing an application for a building work supervisor registration,2,2,100.00%,2,Y
20-21,1944,1443,74.20%,Administrative and Disciplinary,111,76,68.50%,Children and Young People (Safety) Act,3,0,0.00%,Review a decision regarding placement of a child ,3,0,0.00%,3,N
20-21,1944,1443,74.20%,Administrative and Disciplinary,111,76,68.50%,Community Housing Act,4,2,50.00%,Review of Community Housing Provider decision,4,2,50.00%,2,N
20-21,1944,1443,74.20%,Administrative and Disciplinary,111,76,68.50%,Community Housing Act,4,2,50.00%,Review of Community Housing Provider decision,4,2,50.00%,2,Y
20-21,1944,1443,74.20%,Administrative and Disciplinary,111,76,68.50%,Dog and Cat Management Act,18,14,77.80%,Application for review of a control order made by a council,9,9,100.00%,9,Y
20-21,1944,1443,74.20%,Administrative and Disciplinary,111,76,68.50%,Dog and Cat Management Act,18,14,77.80%,Application to review a destruction order made by a council,8,4,50.00%,4,N
20-21,1944,1443,74.20%,Administrative and Disciplinary,111,76,68.50%,Dog and Cat Management Act,18,14,77.80%,Application to review a destruction order made by a council,8,4,50.00%,4,Y
20-21,1944,1443,74.20%,Administrative and Disciplinary,111,76,68.50%,Dog and Cat Management Act,18,14,77.80%,Application to review a prohibition order made by a council,1,1,100.00%,1,Y
20-21,1944,1443,74.20%,Administrative and Disciplinary,111,76,68.50%,Emergency Services Funding Act,1,1,100.00%,Review of a decision to attribute land use to land,1,1,100.00%,1,Y
20-21,1944,1443,74.20%,Administrative and Disciplinary,111,76,68.50%,Equal Opportunity Act,13,11,84.60%,Complaint (Equal Opportunity Act),13,11,84.60%,2,N
20-21,1944,1443,74.20%,Administrative and Disciplinary,111,76,68.50%,Equal Opportunity Act,13,11,84.60%,Complaint (Equal Opportunity Act),13,11,84.60%,11,Y
20-21,1944,1443,74.20%,Administrative and Disciplinary,111,76,68.50%,Firearms Act,1,1,100.00%,"Review a decision relating to a firearms licence, permit or registration ",1,1,100.00%,1,Y
20-21,1944,1443,74.20%,Administrative and Disciplinary,111,76,68.50%,First Home Owners Grant Act,2,2,100.00%,Review of the Treasurer's decision,2,2,100.00%,2,Y
20-21,1944,1443,74.20%,Administrative and Disciplinary,111,76,68.50%,Freedom of Information Act,4,1,25.00%,Review of government/local government agency determination,4,1,25.00%,3,N
20-21,1944,1443,74.20%,Administrative and Disciplinary,111,76,68.50%,Freedom of Information Act,4,1,25.00%,Review of government/local government agency determination,4,1,25.00%,1,Y
20-21,1944,1443,74.20%,Administrative and Disciplinary,111,76,68.50%,Health Practitioner Regulation National Law (SA) Act,10,0,0.00%,Complaint (Health Practitioners),10,0,0.00%,10,N
20-21,1944,1443,74.20%,Administrative and Disciplinary,111,76,68.50%,Health Practitioner Regulation National Law (SA) Act 2010,3,2,66.70%,Review a decision of a national health practitioner board,3,2,66.70%,1,N
20-21,1944,1443,74.20%,Administrative and Disciplinary,111,76,68.50%,Health Practitioner Regulation National Law (SA) Act 2010,3,2,66.70%,Review a decision of a national health practitioner board,3,2,66.70%,2,Y
20-21,1944,1443,74.20%,Administrative and Disciplinary,111,76,68.50%,Local Government Act,5,4,80.00%,Complaint (Local Government Act),1,1,100.00%,1,Y
20-21,1944,1443,74.20%,Administrative and Disciplinary,111,76,68.50%,Local Government Act,5,4,80.00%,Review a decision of a Council to order a person to take action necessary to protect a road or remove a hazard to road users,2,2,100.00%,2,Y
20-21,1944,1443,74.20%,Administrative and Disciplinary,111,76,68.50%,Local Government Act,5,4,80.00%,Review of land valuation decision,2,1,50.00%,1,N
20-21,1944,1443,74.20%,Administrative and Disciplinary,111,76,68.50%,Local Government Act,5,4,80.00%,Review of land valuation decision,2,1,50.00%,1,Y
20-21,1944,1443,74.20%,Administrative and Disciplinary,111,76,68.50%,Motor Vehicles Act,1,1,100.00%,Review a decision of the Registrar of Motor Vehicles relating to drivers licences,1,1,100.00%,1,Y
20-21,1944,1443,74.20%,Administrative and Disciplinary,111,76,68.50%,"Planning, Development and Infrastructure Regulations 2019",3,2,66.70%,Review a decision of the Chief Executive relating to accreditation of planning and building professionals,3,2,66.70%,1,N
20-21,1944,1443,74.20%,Administrative and Disciplinary,111,76,68.50%,"Planning, Development and Infrastructure Regulations 2019",3,2,66.70%,Review a decision of the Chief Executive relating to accreditation of planning and building professionals,3,2,66.70%,2,Y
20-21,1944,1443,74.20%,Administrative and Disciplinary,111,76,68.50%,SA Housing Trust Act,26,20,76.90%,Review of housing SA decision,26,20,76.90%,6,N
20-21,1944,1443,74.20%,Administrative and Disciplinary,111,76,68.50%,SA Housing Trust Act,26,20,76.90%,Review of housing SA decision,26,20,76.90%,20,Y
20-21,1944,1443,74.20%,Administrative and Disciplinary,111,76,68.50%,Southern State Superannuation Act,1,1,100.00%,Application for review of Southern State Superannuation Board decision,1,1,100.00%,1,Y
20-21,1944,1443,74.20%,Administrative and Disciplinary,111,76,68.50%,Valuation of Land Act,12,11,91.70%,Land valuation review,12,11,91.70%,1,N
20-21,1944,1443,74.20%,Administrative and Disciplinary,111,76,68.50%,Valuation of Land Act,12,11,91.70%,Land valuation review,12,11,91.70%,11,Y
20-21,1944,1443,74.20%,Administrative and Disciplinary,111,76,68.50%,Veterinary Practice Act,1,0,0.00%,Complaint (Veterinary Practice Act),1,0,0.00%,1,N
20-21,1944,1443,74.20%,Community,8,1,12.50%,Administration (existing orders),1,0,0.00%,Request for variation or revocation of Administration Order,1,0,0.00%,1,N
20-21,1944,1443,74.20%,Community,8,1,12.50%,Guardianship (existing orders),1,0,0.00%,Request for variation or revocation of Guardianship Order,1,0,0.00%,1,N
20-21,1944,1443,74.20%,Community,8,1,12.50%,Guardianship and Administration,5,1,20.00%,Administration and/or Guardianship Order with/without Special Powers,5,1,20.00%,4,N
20-21,1944,1443,74.20%,Community,8,1,12.50%,Guardianship and Administration,5,1,20.00%,Administration and/or Guardianship Order with/without Special Powers,5,1,20.00%,1,Y
20-21,1944,1443,74.20%,Community,8,1,12.50%,Review - Automatic,1,0,0.00%,Review of Special Powers,1,0,0.00%,1,N
20-21,1944,1443,74.20%,Federal Diversity Jurisdiction,7,4,57.10%,Residential Tenancy,7,4,57.10%,Compensation or bond claim MAG,7,4,57.10%,3,N
20-21,1944,1443,74.20%,Federal Diversity Jurisdiction,7,4,57.10%,Residential Tenancy,7,4,57.10%,Compensation or bond claim MAG,7,4,57.10%,4,Y
20-21,1944,1443,74.20%,Housing & Civil,1818,1362,74.90%,Housing Improvement Act (H&C),3,2,66.70%,Compensation,2,1,50.00%,1,N
20-21,1944,1443,74.20%,Housing & Civil,1818,1362,74.90%,Housing Improvement Act (H&C),3,2,66.70%,Compensation,2,1,50.00%,1,Y
20-21,1944,1443,74.20%,Housing & Civil,1818,1362,74.90%,Housing Improvement Act (H&C),3,2,66.70%,Exemption from the Act,1,1,100.00%,1,Y
20-21,1944,1443,74.20%,Housing & Civil,1818,1362,74.90%,Residential Parks,2,0,0.00%,Compensation or bond claim (Residential parks),2,0,0.00%,2,N
20-21,1944,1443,74.20%,Housing & Civil,1818,1362,74.90%,Residential Tenancy,1765,1319,74.70%,Bond Dispute Referral,1,1,100.00%,1,Y
20-21,1944,1443,74.20%,Housing & Civil,1818,1362,74.90%,Residential Tenancy,1765,1319,74.70%,Compensation or bond claim,1672,1245,74.50%,427,N
20-21,1944,1443,74.20%,Housing & Civil,1818,1362,74.90%,Residential Tenancy,1765,1319,74.70%,Compensation or bond claim,1672,1245,74.50%,1245,Y
20-21,1944,1443,74.20%,Housing & Civil,1818,1362,74.90%,Residential Tenancy,1765,1319,74.70%,Domestic Violence,3,2,66.70%,1,N
20-21,1944,1443,74.20%,Housing & Civil,1818,1362,74.90%,Residential Tenancy,1765,1319,74.70%,Domestic Violence,3,2,66.70%,2,Y
20-21,1944,1443,74.20%,Housing & Civil,1818,1362,74.90%,Residential Tenancy,1765,1319,74.70%,Frustration,4,4,100.00%,4,Y
20-21,1944,1443,74.20%,Housing & Civil,1818,1362,74.90%,Residential Tenancy,1765,1319,74.70%,Hardship or domestic violence,10,4,40.00%,6,N
20-21,1944,1443,74.20%,Housing & Civil,1818,1362,74.90%,Residential Tenancy,1765,1319,74.70%,Hardship or domestic violence,10,4,40.00%,4,Y
20-21,1944,1443,74.20%,Housing & Civil,1818,1362,74.90%,Residential Tenancy,1765,1319,74.70%,"HIA order, exemption from the Act, database (eg TICA) or mortgage in possession",3,3,100.00%,3,Y
20-21,1944,1443,74.20%,Housing & Civil,1818,1362,74.90%,Residential Tenancy,1765,1319,74.70%,Return of goods,1,0,0.00%,1,N
20-21,1944,1443,74.20%,Housing & Civil,1818,1362,74.90%,Residential Tenancy,1765,1319,74.70%,"Termination and/or possession (conduct, illegal use of premises or abandonment)",25,23,92.00%,2,N
20-21,1944,1443,74.20%,Housing & Civil,1818,1362,74.90%,Residential Tenancy,1765,1319,74.70%,"Termination and/or possession (conduct, illegal use of premises or abandonment)",25,23,92.00%,23,Y
20-21,1944,1443,74.20%,Housing & Civil,1818,1362,74.90%,Residential Tenancy,1765,1319,74.70%,"Vacant possession (breach, end of lease or non-compliance)",46,37,80.40%,9,N
20-21,1944,1443,74.20%,Housing & Civil,1818,1362,74.90%,Residential Tenancy,1765,1319,74.70%,"Vacant possession (breach, end of lease or non-compliance)",46,37,80.40%,37,Y
20-21,1944,1443,74.20%,Housing & Civil,1818,1362,74.90%,Retirement Villages,12,8,66.70%,Resolution of dispute between resident and administering authority,10,8,80.00%,2,N
20-21,1944,1443,74.20%,Housing & Civil,1818,1362,74.90%,Retirement Villages,12,8,66.70%,Resolution of dispute between resident and administering authority,10,8,80.00%,8,Y
20-21,1944,1443,74.20%,Housing & Civil,1818,1362,74.90%,Retirement Villages,12,8,66.70%,Review of fees and charges,1,0,0.00%,1,N
20-21,1944,1443,74.20%,Housing & Civil,1818,1362,74.90%,Retirement Villages,12,8,66.70%,Termination and/or possession,1,0,0.00%,1,N
20-21,1944,1443,74.20%,Housing & Civil,1818,1362,74.90%,Rooming House,36,33,91.70%,Compensation or bond claim (Rooming House),35,32,91.40%,3,N
20-21,1944,1443,74.20%,Housing & Civil,1818,1362,74.90%,Rooming House,36,33,91.70%,Compensation or bond claim (Rooming House),35,32,91.40%,32,Y
